Place,BIB#,Lastname,Firstname,Club,Nation,Sex,AC,AC Place,Net,Finish,Photos,Certificate
298,18041,Landstrom,Erik,,SWE,M,30,88,02:41:51,02:41:57,,
299,14627,Bohn Jensen,Rune,Greve Trim,DEN,M,45,22,02:41:53,02:42:03,,
300,18004,Ljunggren,Jens,,SWE,M,30,89,02:41:58,02:42:18,,
301,13658,Callahan,Connor,Big River Racing,USA,M,30,90,02:41:58,02:42:06,,
302,85,Villegas-Garcia,Rodrigo,,MEX,M,35,69,02:41:59,02:41:59,,
303,29433,Paul,Dominik,,GER,M,H,46,02:41:59,02:42:09,,
304,24005,Rellensmann,Johanna,LSF MÃ¼nster,GER,W,30,7,02:42:00,02:42:10,,
305,60217,Taha Elkiaei,Mohamed,,EGY,M,35,70,02:42:10,02:42:29,,
306,13855,Hsu,Li Chieh,BURN,TWN,M,30,91,02:42:11,02:42:15,,
307,22349,Stary,Manuel,TrainYourTown,GER,M,30,92,02:42:12,02:42:33,,
308,59548,Sewell,David,,USA,M,45,23,02:42:13,02:42:29,,
309,15742,Mikalainis,Linas,Love Streams Running,LTU,M,30,93,02:42:15,02:42:24,,
310,22200,Maklakhov,Juri,Eintracht Frankfurt,GER,M,45,24,02:42:15,02:42:31,,
311,16411,THEAU,Yann,,FRA,M,45,25,02:42:16,02:42:29,,
312,4923,Basel,JÃ¶rn,SCC Berlin,GER,M,40,49,02:42:18,02:42:28,,
313,53068,Finazzi,Stefano,,ITA,M,30,94,02:42:23,02:43:56,,
314,50314,Aquino Cicero,Enrique,,MEX,M,35,71,02:42:24,02:42:40,,
315,24324,Mey,Markus,PETERS SPORTTEAM adidas,GER,M,50,7,02:42:27,02:42:33,,
316,12212,Rasheed,Mohamed,,MDV,M,30,95,02:42:27,02:42:31,,
317,57092,Morgan,Luke,Kenilworth Runners,GBR,M,H,47,02:42:27,02:42:56,,
318,24728,Coakley,Donal,Leevale,IRL,M,35,72,02:42:27,02:42:35,,
319,F31,Brandt,Victoria,LAC Olympia 88,GER,W,30,8,02:42:31,02:42:31,,
320,27960,Bilt,Marcel,,ROU,M,35,73,02:42:34,02:42:46,,
321,23297,SÃ¡nchez,JosÃ© FÃ©lix,FCMAX,ARG,M,30,96,02:42:34,02:42:39,,
322,21824,Jadoul,Geoffroy,AR x Nuremberg Track Club,BEL,M,30,97,02:42:38,02:43:01,,
323,16858,guther,iosif,Newbridge Athletic Club,IRL,M,35,74,02:42:45,02:42:51,,
324,22881,Blanco Sevilla,Leandro,ATLETISMO LA BANEZA,ESP,M,35,75,02:42:48,02:42:53,,
325,52486,Diepold,Paul,SCC Berlin,GER,M,H,48,02:42:49,02:43:14,,
326,13171,Trzewik,Fabian,Team Erdinger Alkoholfrei,GER,M,30,98,02:42:56,02:43:27,,
327,17092,Regimowicz,Tomasz,Team Draczynski,POL,M,45,26,02:43:00,02:43:06,,
328,55827,Lee,Brian,,USA,M,H,49,02:43:00,02:43:15,,
329,16951,Esselborn,Tobias,LC Euskirchen,GER,M,30,99,02:43:01,02:43:14,,
330,12021,Kostyk,Piotr,,USA,M,30,100,02:43:01,02:43:22,,
331,12419,Davies,Hywel,,GBR,M,45,27,02:43:01,02:43:11,,
332,60949,Viss,Matt,,USA,M,35,76,02:43:02,02:43:15,,
333,57204,Mulot,Moussa,Courir A Cognac,FRA,M,40,50,02:43:03,02:43:19,,
334,50989,Blynas,Dainius,,LTU,M,45,28,02:43:06,02:43:30,,
335,21107,ÃdegÃ¥rd,Ulrik,OSI,NOR,M,30,101,02:43:12,02:43:22,,
336,26027,Dahl,Henrik,Skive AM,DEN,M,35,77,02:43:12,02:43:29,,
337,28062,Brennan,Martin,Sligo AC,IRL,M,35,78,02:43:13,02:43:37,,
338,19327,Devlin,Benedict,,GBR,M,30,102,02:43:16,02:43:37,,
339,20914,GÃ¤rtner,Ralf,SSV Forchheim,GER,M,30,103,02:43:22,02:43:31,,
340,59702,Sinner,Manuel,Marathon Club Menden eV,GER,M,30,104,02:43:23,02:43:31,,
341,12019,Conway,Gary,,AUS,M,45,29,02:43:25,02:43:44,,
342,24171,Kroon,Dave,,NED,M,40,51,02:43:26,02:44:01,,
343,13132,Burgdorf,Sabine,ASV KÃ¶ln,GER,W,40,3,02:43:30,02:44:11,,
344,20881,Renken,Hauke,BERLIN BRAVES,GER,M,H,50,02:43:34,02:43:48,,
345,53381,Garcia,Jose Angel,BATHCO RUNNING TEAM,ESP,M,45,30,02:43:34,02:43:46,,
346,53393,Garcia Garcia,Alejandro,,ESP,M,30,105,02:43:35,02:43:43,,
347,13730,Walker,Andrew,,USA,M,30,106,02:43:37,02:43:54,,
348,51717,Chege,Sam,,USA,M,35,79,02:43:38,02:43:46,,
349,27721,Swartzendruber,Nathan,,USA,M,35,80,02:43:38,02:43:52,,
350,17339,Myers,Alun,Inverclyde Athletics Club,GBR,M,35,81,02:43:39,02:43:49,,
351,60366,Thornton,Mitchell,,USA,M,30,107,02:43:41,02:43:49,,
352,29129,ZÃ¼ndorf,Nico,,GER,M,30,108,02:43:50,02:44:18,,
353,54507,Hours,Sebastien,TDR Craponne ESL,FRA,M,30,109,02:43:51,02:43:55,,
354,22073,Avico,Lorenzo,Rari Nantes Torino,ITA,M,40,52,02:43:52,02:44:09,,
355,54598,Hurtado Rodriguez,Asier,,ESP,M,40,53,02:43:53,02:44:07,,
356,54333,Hia,Caleb,,SIN,M,H,51,02:43:53,02:43:58,,
357,14049,Vellon,Rodrigo,DC Road Runners,ESP,M,30,110,02:43:56,02:44:17,,
358,56089,Long,Robby,CITIUS RC,USA,M,30,111,02:44:00,02:44:31,,
359,12621,Ãiseth,Klaus,Team Gulbrandsen,NOR,M,45,31,02:44:01,02:44:08,,
360,12559,Harraghy,Matthew,,GBR,M,30,112,02:44:04,02:44:15,,
361,60593,Uhrbom,Fredrik,Sparvagens FK,SWE,M,40,54,02:44:09,02:44:15,,
362,17182,Lamba,Vikas Kumar,,IND,M,30,113,02:44:09,02:44:54,,
363,25766,Wolf,Johannes,Nuremberg Track Club,GER,M,H,52,02:44:16,02:44:37,,
364,23258,De Bel,Allen,AC Deinze,BEL,M,40,55,02:44:19,02:44:23,,
365,15884,Mcgough,Christopher,,USA,M,35,82,02:44:20,02:44:28,,
366,58706,Rizzotto,Julien,,FRA,M,40,56,02:44:21,02:44:34,,
367,55639,Lakinger,Stefan,KSU-Gutenstein,AUT,M,H,53,02:44:22,02:44:30,,
368,59403,Schubert,Jonas,,GER,M,30,114,02:44:25,02:44:42,,
369,15387,Low,Matthew,Best Athletics,RSA,M,30,115,02:44:27,02:44:37,,
370,61369,Wloka,Andreas,Franken Speed Fighter,GER,M,45,32,02:44:28,02:45:28,,
371,19857,Meyers,Martijn,Altius,BEL,M,30,116,02:44:29,02:45:10,,
372,51302,brun,jean andre,TEAM NISSA TRIATHLON,FRA,M,30,117,02:44:30,02:44:51,,
373,16892,Reiter,Herbert,,AUT,M,35,83,02:44:32,02:44:45,,
374,25803,Jarquin,Gabriel,,CAN,M,35,84,02:44:32,02:44:41,,
375,18144,Schlickeisen,Jan,,GER,M,30,118,02:44:33,02:44:51,,
376,28628,Thery,Domenico,UST,FRA,M,35,85,02:44:33,02:44:43,,
377,61224,Wetterberg,Nils,,SWZ,M,30,119,02:44:37,02:44:41,,
378,F16,Deutsch,Beatie,,ISR,W,30,9,02:44:37,02:44:37,,
379,59451,Schweiger,Matthias,SC Ainring,GER,M,H,54,02:44:42,02:44:59,,
380,26886,Eggenschwiler,Denis,,SUI,M,40,57,02:44:44,02:45:01,,
381,61231,Wheeler,Cecil,laufgruppe cham,SUI,M,50,8,02:44:44,02:44:58,,
382,53866,Guerra,Rodrigo,Amigos Atletismo Mafra,POR,M,45,33,02:44:46,02:44:57,,
383,17571,Nesslin,Truls,,NOR,M,35,86,02:44:48,02:45:09,,
384,54124,Harvey,Chris,Bristol and West AC,GBR,M,45,34,02:44:48,02:45:30,,
385,56290,Maddocks,Jordan,Team Rivs,USA,M,35,87,02:44:48,02:44:54,,
386,50506,Ballard,Michael,,USA,M,40,58,02:44:50,02:45:03,,
387,12579,Parrico,Anthony,RUN GREEN METZ,FRA,M,35,88,02:44:51,02:44:55,,
388,56968,Mogio,Gervasio,Nike,ESP,M,30,120,02:44:54,02:44:59,,
389,12908,Loosvelt,Philippe,,BEL,M,H,55,02:44:54,02:44:59,,
390,25926,Iurea,Armand,AS Monaco Athletisme,FRA,M,30,121,02:44:55,02:45:02,,
391,58053,Pickard,Robert,Sayville running company,USA,M,30,122,02:44:55,02:45:23,,
392,55484,Kroezen,Rick,Loopvereniging TOF,NED,M,30,123,02:45:00,02:45:16,,
393,15664,Danelak,Pierre,,GER,M,30,124,02:45:01,02:45:06,,
394,51608,Casu,Filippo,Isolarun,ITA,M,35,89,02:45:02,02:45:19,,
395,12642,Eidhof,Chris,,NED,M,35,90,02:45:03,02:45:16,,
396,22478,Dahlberg,GÃ¸ran,,NOR,M,30,125,02:45:04,02:45:19,,
397,57741,Page,Jason,Bull City Track Club,USA,M,45,35,02:45:04,02:45:26,,
398,16699,Weingarth,Philippe,LLG Wustweiler,GER,M,35,91,02:45:06,02:45:14,,
399,17838,Lundgren BjÃ¶rnqvist,Christoffer,Katrineholm SK Friidrott,SWE,M,35,92,02:45:17,02:45:24,,
400,14193,SchrÃ¶der,Nikas,LETS RUN Bremen,GER,M,45,36,02:45:17,02:45:22,,
401,16236,Greuter,Kim,Pais Sport,SUI,M,45,37,02:45:18,02:45:33,,
402,16924,Schaffrik,Raffael,SV Waldkirch,GER,M,30,126,02:45:19,02:45:29,,
403,59820,SolÃ³rzano GonzÃ¡lez,Juan Carlos,Loop Running,CRC,M,40,59,02:45:20,02:45:34,,
404,3202,Reitsnik,Tarmo,,EST,M,45,38,02:45:26,02:45:52,,
405,53907,Guo,Yufeng,,USA,M,30,127,02:45:28,02:45:52,,
406,14679,Kinsella,Brian,,IRL,M,30,128,02:45:31,02:45:40,,
407,24643,Gonzalez Garcia,Ruben,TRAVELMARATHON SPAIN,ESP,M,30,129,02:45:33,02:45:38,,
408,23738,Gonzalez Mancha,Jaime,TRAVELMARATHON SPAIN,ESP,M,30,130,02:45:33,02:45:38,,
409,61702,Meinich,Jens Christian,,NOR,M,H,56,02:45:35,02:45:44,,
410,18663,Leerink,Jan,Running Holland,NED,M,H,57,02:45:36,02:47:16,,
411,23777,Milashenko,Oleksandr,,UKR,M,30,131,02:45:40,02:45:49,,
412,56156,Loyer,Ronan,courir avec brin d avoine,FRA,M,35,93,02:45:43,02:45:53,,
413,25717,Banek,Krzysztof,TourSport Running Team,POL,M,35,94,02:45:45,02:46:01,,
414,12363,Rauter,Monier,TB Hamburg Eilbeck,GER,M,30,132,02:45:46,02:47:18,,
415,27292,Ritter,Arno,,AUT,M,55,2,02:45:48,02:46:09,,
416,57030,Montserrat Aguilo,Oscar,SALOU TRIATLO CD,ESP,M,30,133,02:45:48,02:46:21,,
417,21095,Krauth,Joachim,Aalener Sportallianz,GER,M,30,134,02:45:50,02:45:55,,
418,15238,Puskar,Michal,BERNOHY,SVK,M,35,95,02:45:53,02:45:59,,
419,12720,Strand,Ãge Mikael,Grindvoll IL,NOR,M,45,39,02:45:54,02:46:09,,
420,F21,Fischer,Katja,LAV ThÃ¼bingen,GER,W,30,10,02:45:54,02:45:54,,
421,63,Singer,Tobias,,GER,M,30,135,02:45:55,02:45:55,,
422,53791,Grieves,Darren,,USA,M,35,96,02:46:00,02:46:20,,
423,87,Rypdal,Petter,IK Tjalve,NOR,M,H,58,02:46:03,02:46:03,,
424,12334,Cazorla,Julien,Serpentine RC,FRA,M,40,60,02:46:04,02:46:38,,
425,17813,Callsen-Bracker,Mario,,GER,M,30,136,02:46:05,02:46:12,,
426,29280,Niemi,Aino,,FIN,W,H,12,02:46:05,02:46:24,,
427,27856,Horan,Jonathan,ESM,GBR,M,35,97,02:46:06,02:46:21,,
428,97,Wanyoike,Henry,Die Laufpartner,KEN,M,45,40,02:46:12,02:46:12,,
429,97,Wanyoike,Paul Kihumba,Die Laufpartner,KEN,M,35,98,02:46:12,02:46:12,,
430,17133,Buchan,James,,GBR,M,35,99,02:46:15,02:46:27,,
431,25261,Cupido,Rui,AA Mafra,POR,M,50,9,02:46:15,02:46:26,,
432,50063,Adams,Scott,Metro Aberdeen,GBR,M,H,59,02:46:16,02:46:37,,
433,28992,Mora,Andres,,CRC,M,35,100,02:46:16,02:46:43,,
434,29621,Schulz,Konrad,Die Unbestechlichen,GER,M,55,3,02:46:18,02:46:25,,
435,12986,Fowler,Rob,,GBR,M,40,61,02:46:19,02:46:47,,
436,18326,Scanlan,James,GoldenGateTriathlonClub,USA,M,50,10,02:46:20,02:46:43,,
437,22275,Chavez Martinez,Diego,Adidas Runners Mexico,MEX,M,35,101,02:46:21,02:47:26,,
438,12368,MÃ¼ller,Tobias,Fox and Featherstone,SUI,M,30,137,02:46:21,02:47:33,,
439,61362,Witkowski,Pawel,Wieliszew Heron Team,POL,M,40,62,02:46:25,02:46:53,,
440,14787,Nhleko,Mduduzi Maurice,Nedbank RC Cape Town,RSA,M,35,102,02:46:26,02:46:36,,
441,23282,Vozab,Marko,Adidas Runners Belgrade,SRB,M,H,60,02:46:26,02:46:40,,
442,13006,Hildebrand,Berno,,GER,M,30,138,02:46:26,02:46:31,,
443,24397,Gattuso,Dominik,TV Oberrodenbach,GER,M,35,103,02:46:27,02:47:46,,
444,22637,Schilff,Robin,SCC Berlin,GER,M,H,61,02:46:29,02:46:44,,
445,22808,Yap,Tien-Fung,BSG Mainz,GER,M,30,139,02:46:29,02:46:38,,
446,95,Parki,Gopi Chandra,,NEP,M,30,140,02:46:29,02:46:29,,
446,25756,Magnan,Sebastien,la foulee Tourvaine,FRA,M,45,41,02:46:29,02:46:42,,
448,24567,BÃ¸en,Christian,,NOR,M,35,104,02:46:31,02:46:37,,
449,23574,Dale,Robert,LG BSN,GER,M,30,141,02:46:32,02:46:53,,
450,29493,DURAND,Nicolas,,FRA,M,35,105,02:46:32,02:46:52,,
451,51059,Boman,Kenneth,Lulekamraterna,SWE,M,45,42,02:46:34,02:46:56,,
452,56076,Loden,Stephen,,CAN,M,35,106,02:46:34,02:47:10,,
453,13260,King,Robert,,GBR,M,30,142,02:46:34,02:47:03,,
454,22467,Damas Ramos,Angel,,ESP,M,40,63,02:46:35,02:46:56,,
455,58710,Robben,Daan,,NED,M,30,143,02:46:35,02:47:18,,
456,50480,BAIXES,LLUIS,Club atletic Amer Hipra,ESP,M,30,144,02:46:36,02:47:19,,
457,54583,Huijssoon,Harald,,NED,M,40,64,02:46:37,02:46:42,,
458,52094,Cummins,Trevor,Ballymore Cobh AC,IRL,M,35,107,02:46:38,02:46:43,,
459,12772,Burke,Patrick,,GBR,M,35,108,02:46:39,03:09:29,,
460,54659,Ingram,Christopher,,GBR,M,35,109,02:46:40,02:46:49,,
461,52540,Domingos,David,SCC Berlin,GER,M,40,65,02:46:42,02:46:58,,
462,22489,N'DIAYE,Youssoupha,,FRA,M,30,145,02:46:47,02:46:52,,
463,12694,FernÃ¡ndez,Alfonso,ACD CASTELLAR,ESP,M,30,146,02:46:52,02:47:10,,
464,56184,Lucinskas,Audrius,,LTU,M,40,66,02:46:53,02:47:17,,
465,24506,Alaoui,Zied,TEAM Boulder,FRA,M,H,62,02:46:54,02:47:37,,
466,18589,Vincent,Dalleur,Malmedy Athletic Club,BEL,M,30,147,02:46:54,02:47:13,,
467,12134,Tamura,Junichi,Lets Run Paris,JPN,M,45,43,02:46:55,02:47:06,,
468,22471,Vales Giacusa,Sebastian,Adidas runner berlin,URU,M,30,148,02:46:59,02:47:36,,
469,15727,Fox,SeÃ¡n,Donore Harriers,IRL,M,45,44,02:46:59,02:47:10,,
470,29061,Gray,Ellis,Mile2Marathon,CAN,M,30,149,02:47:03,02:47:26,,
471,18654,Ramirez Valentin,Raul,Paracuellos Running,ESP,M,45,45,02:47:04,02:47:21,,
472,15420,Gomez,Juan Antonio,Feriantes Teams,ESP,M,35,110,02:47:08,02:48:23,,
473,23627,Meland,Jacob Palmer,LUIL,NOR,M,35,111,02:47:09,02:47:30,,
474,16622,Van Oostrum,Christian,Run Dem Crew,GBR,M,30,150,02:47:12,02:47:40,,
475,12133,Delporte,Nicolas,Barbes Runners,FRA,M,35,112,02:47:13,02:47:32,,
476,29421,Delporte,Hugo,Anhiers Dream Team,FRA,M,H,63,02:47:13,02:47:32,,
477,20716,Wedum,Fridtjof,,NOR,M,H,64,02:47:16,02:47:30,,
478,12214,Olaussen,Stein Henrik,Varegg,NOR,M,35,113,02:47:16,02:47:24,,
479,51482,Campos,Nicolas,,FRA,M,30,151,02:47:17,02:47:46,,
480,25477,Tsantoulas,Christopher,SERPENTINE RC,GRE,M,40,67,02:47:17,02:47:21,,
481,13109,Hall,Thomas,Hallamshire Harriers,GBR,M,40,68,02:47:18,02:47:43,,
482,18659,Gawlik,Slawek,DYNAFIT TEAM POLAND,POL,M,35,114,02:47:22,02:47:27,,
483,50861,Betancur Zapata,Camilo,Terret Running Team,COL,M,30,152,02:47:29,02:48:08,,
484,17479,Van Heesewijk,Marius,Phanos,NED,M,35,115,02:47:29,02:47:52,,
485,21896,Viola,Luca,DK RUNNERS MILANO,ITA,M,35,116,02:47:32,02:47:48,,
486,14397,Preobrazhenskiy,Alexander,,RUS,M,45,46,02:47:32,02:48:28,,
487,22608,Vall,Markus,Fredrikshofs FIF,SWE,M,H,65,02:47:36,02:47:43,,
488,15289,Killermann,Felix,,GER,M,H,66,02:47:38,02:48:15,,
489,54662,Inniger,Nicholas,,USA,M,35,117,02:47:38,02:47:59,,
490,56672,Mccarthy,Shannon,,USA,W,H,13,02:47:39,02:48:14,,
491,55348,Konieczka,Rafal,,POL,M,40,69,02:47:39,02:47:48,,
492,29106,Mantzizidor,Urko,CA Gernika,ESP,M,40,70,02:47:43,02:48:00,,
493,21295,Thomas,Nathanael,,USA,M,H,67,02:47:44,02:48:11,,
494,58345,Quernin,ClÃ©ment,,FRA,M,30,153,02:47:45,02:48:09,,
495,17745,Engesmo,Jon Inge,,NOR,M,45,47,02:47:48,02:48:09,,
496,25903,Constantinou,Fivos,DroMeA Racing,CYP,M,40,71,02:47:48,02:48:07,,
497,50022,Abicht,Daniel,Equinor BIL Skjalg IL,GER,M,40,72,02:47:50,02:48:00,,
498,20021,Van De Voorde,Danny,,BEL,M,35,118,02:47:52,02:48:03,,
499,50759,Benitz-Ammer,Maximilian,LG Donau-Ries,GER,M,H,68,02:47:53,02:48:36,,
500,14392,Herfkens,Mick,Cafe de Huyschkaemer,NED,M,30,154,02:47:53,02:48:09,,
501,54087,HÃ¤rdfeldt,Fredrik,Ãrebro AIK,SWE,M,40,73,02:48:01,02:48:32,,
502,15100,Wendling,Thomas,HunsrÃ¼ck Marathon eV,GER,M,35,119,02:48:01,02:48:08,,
503,17801,Spitzer,Martin,ULC Riverside MÃ¶dling,AUT,M,45,48,02:48:02,02:49:02,,
504,15047,Bertheussen,Kim,Team Tria Family,NOR,M,35,120,02:48:02,02:49:28,,
505,16632,Midtgarden,Eivind,OSI - Norconsult BIL,NOR,M,H,69,02:48:07,02:48:26,,
506,52936,Fajnzylber,Jesse,Tracksmith,USA,M,H,70,02:48:07,02:48:18,,
507,21323,GARCIA PEÃA,Miguel,,ESP,M,35,121,02:48:07,02:48:24,,
508,21048,Krystad,Ola,Namdal Lopeklubb,NOR,M,40,74,02:48:08,02:48:18,,
509,13390,Ladwein,Julian,,GER,M,H,71,02:48:10,02:48:30,,
510,26424,Strauss,Roberto,,ISR,M,55,4,02:48:18,02:48:48,,
511,3671,Stallmann,Andreas,TSV Ottensheim,AUT,M,50,11,02:48:21,02:48:34,,
512,16630,Jung,Cornelius,,GER,M,35,122,02:48:22,02:48:46,,
513,16560,Silke,Mick,,IRL,M,40,75,02:48:25,02:48:39,,
514,59226,SchÃ¤fer,Samalya,,GER,M,35,123,02:48:26,02:48:31,,
515,23584,Garcia,Jorge,TV Oerlikon,ESP,M,35,124,02:48:27,02:48:32,,
516,27102,Beibl,Tobias,,GER,M,30,155,02:48:27,02:49:04,,
517,20152,Krypotos,Spyridon,,GRE,M,45,49,02:48:32,02:49:23,,
518,12471,Power,David,Rathfarnham WSAF AC,IRL,M,35,125,02:48:33,02:48:41,,
519,13592,Parra,Pierre,Redomat Team,FRA,M,35,126,02:48:36,02:48:45,,
520,25625,Brenna,Kristen,,NOR,M,40,76,02:48:36,02:49:02,,
521,16819,Bochert,Kai,,GER,M,40,77,02:48:36,02:49:37,,
522,12249,Beyer,Tobias,Nuremberg Track Club,GER,M,H,72,02:48:36,02:48:59,,
523,14368,Coenraads,Hans,,NED,M,40,78,02:48:36,02:49:10,,
524,27484,Robbins,Todd,,USA,M,35,127,02:48:37,02:49:01,,
525,61378,Wojcik,Janusz,Mistrz Amator,POL,M,55,5,02:48:37,02:49:12,,
526,24284,Nieminen,Jaakko,,FIN,M,45,50,02:48:39,02:48:59,,
527,51303,BRUN,Nicolas,,FRA,M,30,156,02:48:40,02:48:54,,
528,20822,Lehamel,Kevin,,FRA,M,30,157,02:48:41,02:49:25,,
529,24595,Weber,Juan Ignacio,,ARG,M,40,79,02:48:45,02:49:58,,
530,59824,Solum,Alexander,Nottero Ronners,NOR,M,35,128,02:48:46,02:49:03,,
530,27582,Huertas Corcelles,Aniceto,Real Club Mediterraneo,ESP,M,40,80,02:48:46,02:49:14,,
532,19650,Brum,Sergej,team 154,RUS,M,40,81,02:48:47,02:49:17,,
533,15147,Wilhelm,Tobias,,GER,M,H,73,02:48:47,02:49:49,,
534,15413,Herland,Timmy,,NOR,M,35,129,02:48:48,02:48:59,,
535,19270,Liljenroth,Markus,Ãrebro AIK,SWE,M,40,82,02:48:49,02:49:20,,
536,51896,Colangelo,Mirko,,ITA,M,40,83,02:48:52,02:49:05,,
537,54578,Hugues Arthur,Juan Pablo,,MEX,M,30,158,02:48:52,02:49:15,,
538,53036,Ferreira,Rogerio,,POR,M,45,51,02:48:53,02:49:37,,
539,26556,Frithiof,Rickard,FK Studenterna,SWE,M,40,84,02:48:57,02:49:08,,
540,27435,Kunze,Marcus,,GER,M,35,130,02:49:01,02:49:39,,
541,26689,Jones,Sebastian,,GBR,M,40,85,02:49:04,02:49:27,,
542,25626,Burleigh,William,Somerville Road Runners,USA,M,30,159,02:49:05,02:49:22,,
543,54229,Helmer,Paul,,USA,M,30,160,02:49:06,02:49:54,,
544,14279,Ladd,Alan,Mallusk Harriers,GBR,M,35,131,02:49:07,02:49:37,,
545,50267,Andresen,Trygve,Varegg fleridrett,NOR,M,40,86,02:49:07,02:49:25,,
546,13145,Brush,Kyle,,USA,M,30,161,02:49:10,02:49:35,,
547,12731,Noblejas Gonzalez,Ivan,Maratonianos Team,ESP,M,45,52,02:49:11,02:49:24,,
548,17943,Bottone,Michele,Serpentine RC,ITA,M,40,87,02:49:14,02:49:25,,
549,56572,Martuscello,Jason,,USA,M,30,162,02:49:17,02:49:56,,
550,14951,Scarpello,Alessandro,,GER,M,30,163,02:49:18,02:49:51,,
551,27671,mathieu,sebastien,TRIA SUD CAChampigneulles,FRA,M,45,53,02:49:19,02:49:37,,
552,57688,ÃstbÃ¸ll,Knut Erik,Tonsberg Runners,NOR,M,45,54,02:49:21,02:49:51,,
553,51421,Bylym,Volodymyr,,UKR,M,35,132,02:49:22,02:49:27,,
554,29407,PitkÃ¤nen,Teemu,,FIN,M,30,164,02:49:27,02:49:43,,
555,50966,Blaszczuk,Michal,,POL,M,30,165,02:49:28,02:49:32,,
555,21239,Jakobsen,Peter,Viking Atletik,DEN,M,40,88,02:49:28,02:50:10,,
557,20923,Harkko,Aleksi,Runners Club,FIN,M,30,166,02:49:29,02:50:17,,
558,59356,SchnÃ¼riger,Samira,LC Regensdorf,SUI,W,H,14,02:49:32,02:49:50,,
559,16591,Diego Gonzalez,Alfredo,,ESP,M,45,55,02:49:33,02:50:19,,
560,14352,Hjalager,Joachim Borg,,DEN,M,35,133,02:49:34,02:49:43,,
561,55901,Leonenko,Yury,Finspangs AIK,RUS,M,30,167,02:49:37,02:50:14,,
562,23388,Fischer,Gert,SUS Oberaden,GER,M,45,56,02:49:37,02:49:56,,
563,23377,Ervik,Arild Nebb,,NOR,M,40,89,02:49:37,02:50:04,,
564,2878,Polch,Tobias,SC Elite,GER,M,45,57,02:49:38,02:50:08,,
565,15847,Krombach,Achim,TV Niederschelden,GER,M,40,90,02:49:38,02:50:01,,
566,13527,PiirimÃ¤e,PÃ¤rtel,,EST,M,45,58,02:49:43,02:49:57,,
567,14158,Liebrich,Johannes,,GER,M,H,74,02:49:43,02:51:14,,
568,20833,Muenster,Marcel,,GER,M,35,134,02:49:46,02:50:04,,
569,15956,Lozano AragonÃ©s,Alberto,,ESP,M,30,168,02:49:46,02:50:02,,
570,14474,Longridge,Corri,,CAN,W,35,2,02:49:47,02:50:12,,
571,22078,Danielo,Jean-Michel,MUTEX,FRA,M,40,91,02:49:47,02:50:51,,
572,51933,Conejos,Agustin,,ARG,M,30,169,02:49:47,02:50:12,,
573,18012,Churchill,Duncan,,GBR,M,45,59,02:49:50,02:50:52,,
574,28070,Mohedano Del Pozo,Raul,Pueblo MuniHumana,ESP,M,35,135,02:49:51,02:50:10,,
575,27562,Ziletti,Angelo,The Renates,ITA,M,35,136,02:49:55,02:50:11,,
576,58877,Rooney,Stephen,Watergrasshill AC,IRL,M,45,60,02:49:58,02:50:27,,
577,14450,Beck,Katie,,CAN,W,35,3,02:50:00,02:50:18,,
578,53628,Goldwasser,Jonathan,RCB,BEL,M,35,137,02:50:03,02:51:05,,
579,23858,Weihs,Robert,,AUT,M,35,138,02:50:04,02:50:58,,
580,54128,Haslie,Marit,,NOR,W,H,15,02:50:05,02:51:07,,
581,27664,Golembiewski,Marek,Zespol Szkol nr5MSBydg,POL,M,45,61,02:50:06,02:50:31,,
582,56626,Matusevicius,Tadas,Vilnius running club,LTU,M,30,170,02:50:07,02:50:16,,
583,53077,Finsinger,Tobias,,GER,M,45,62,02:50:08,02:51:26,,
584,28577,De La Cruz Medrano,Jose Javier,DONOSTIARRAK,ESP,M,40,92,02:50:10,02:50:22,,
585,60785,Vara Skogholt,JÃ¸rgen,,NOR,M,30,171,02:50:11,02:50:21,,
586,26741,Larvia,Anders,IFK Umea,SWE,M,40,93,02:50:12,02:50:23,,
587,52430,Dhondt,Gilles,,BEL,M,H,75,02:50:12,02:50:51,,
588,25517,Newman,Eddie,,IRL,M,55,6,02:50:13,02:50:29,,
589,57013,Montagut,Jorge,TG HÃ¼tten,ESP,M,45,63,02:50:13,02:50:32,,
590,18656,Bolle,Peter,8000 Running,BEL,M,40,94,02:50:13,02:50:31,,
591,57081,Moreno Galan,Antonio,TS1,MEX,M,35,139,02:50:14,02:50:58,,
592,25386,Jobard,Matthieu,ACLAM,FRA,M,35,140,02:50:14,02:50:28,,
593,17071,Hajji,Yahia,CAPOSS REUNION,FRA,M,45,64,02:50:18,02:50:37,,
594,15125,Neby,Magnus,Hamar IL Friidrett,NOR,M,35,141,02:50:20,02:50:28,,
595,58416,Ramanauskas,Vaidas,Origami runners,LTU,M,35,142,02:50:21,02:50:39,,
596,19156,Pessey,Raphael,,FRA,M,45,65,02:50:21,02:50:31,,
597,23047,Parant,Pascal,MUTEX,FRA,M,35,143,02:50:24,02:50:51,,
598,17941,Martinez Velasco,Raul,Corredors cat,ESP,M,35,144,02:50:27,02:50:37,,
599,15354,Schmidt,Timo,LT Florstadt,GER,M,H,76,02:50:28,02:50:35,,
600,13618,Neuhausr,Andreas,,GER,M,35,145,02:50:30,02:51:13,,
601,28286,Gawlik,Marcus,TVB 09,GER,M,30,172,02:50:31,02:50:44,,
